Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Market Share (%)
2020-01-01,AI,Tesla V100,South America,799973.86,2907,Gamers,Business,44.06
2020-01-01,OEM,RTX 3080,North America,1213661.86,3384,Cloud Providers,Individual,54.93
2020-01-02,AI,RTX 4090,APAC,384325.5,4941,Educational Institutions,Business,46.89
2020-01-02,AI,RTX 4090,Middle East,1039800.06,2868,Gamers,Business,66.64
2020-01-02,Gaming,RTX 4090,APAC,1026141.95,4035,Educational Institutions,Individual,69.16
2020-01-03,Gaming,Tesla V100,Africa,1578803.0,1394,Educational Institutions,Business,45.26
2020-01-03,OEM,Tesla V100,Europe,1546181.6,4834,Cloud Providers,Individual,69.55
2020-01-03,Gaming,RTX 3080,APAC,889980.27,3308,Educational Institutions,Individual,30.52
2020-01-04,OEM,Quadro P2200,APAC,1941669.43,2997,Cloud Providers,Individual,52.95
2020-01-04,Data Center,RTX 4090,South America,136301.1,3754,Educational Institutions,Individual,44.3
2020-01-04,OEM,Quadro P2200,Middle East,987177.8,1683,Cloud Providers,Individual,37.95
2020-01-04,AI,RTX 4090,North America,302841.76,4262,Educational Institutions,Business,51.62
2020-01-05,OEM,Quadro P2200,North America,660915.45,2234,AI Researchers,Business,64.58
2020-01-05,OEM,Quadro P2200,APAC,590519.5,3161,Gamers,Business,50.32
2020-01-05,AI,RTX 3080,Europe,1669507.28,4212,AI Researchers,Business,31.31
2020-01-05,OEM,Quadro P2200,Africa,752933.74,662,AI Researchers,Individual,60.41
2020-01-05,Data Center,RTX 3080,South America,1984875.19,4250,Cloud Providers,Business,63.0
2020-01-05,Gaming,Tesla T4,North America,1361992.47,4563,Cloud Providers,Business,33.01
2020-01-06,Data Center,RTX 4090,Middle East,297051.94,3742,Educational Institutions,Individual,50.89
2020-01-06,AI,Quadro P2200,Europe,400754.94,2158,AI Researchers,Individual,47.34
2020-01-07,Data Center,RTX 3080,Europe,1169804.66,3926,Gamers,Individual,69.31
2020-01-07,OEM,Tesla V100,North America,1983523.67,1333,AI Researchers,Business,54.24
2020-01-07,OEM,Quadro P2200,South America,1001352.27,3202,Gamers,Business,66.29
